name,rating,votes,description
Moana 2 (2024),,,
From the Ashes (2024),,,
Space Dogg (2024),,,
"RM: Right People, Wrong Place (2024)",,,
Y2K (2024),,,
The Return (2024),,,
The Order (2024),,,
Nightbitch (2024),,,
Werewolves (2024),,,
Solo Leveling: ReAwakening (2024),,,
Get Away (2024),,,
Me Without Myself (2024),,,
Carol (2024),,,
The Satire (2024),,,
I Am the Immaculate Conception (2024),,,
The Lord of the Rings: The War of the Rohirrim (2024),,,
Kraven the Hunter (2024),,,
September 5 (2024),,,
The Count of Monte-Cristo (2024),,,
Mufasa: The Lion King (2024),,,
Sonic the Hedgehog 3 (2024),,,
Homestead (2024),,,
Elephant Steps (2024),,,
Nosferatu (2024),,,
Babygirl (2024),,,
A Complete Unknown (2024),,,
The Fire Inside (2024),,,
2073 (2024),,,
Alien Wars: Judgement Day (2024),,,
Apophis 2029 (2024),,,
Crystal (2024),,,
Grind (2025),,,
The Damned (2024),,,
The Damned (2024),,,
The Delegator (2024),,,
The Last Showgirl (2024),,,
Den of Thieves 2: Pantera (2025),,,
Disfluency (2021),,,
Paddington in Peru (2024),,,
Better Man (2024),,,
Wolf Man (2025),,,
Flight Risk (2024),,,
Presence (2024),,,
One of Them Days (2025),,,
The Colors Within (2024),,,
Brave the Dark (2023),,,
Inheritance (2025),,,
Bau: Artist at War (2024),,,
Companion (2025),,,
Dog Man (2025),,,
Valiant One (2025),,,
Game of Power (2025),,,
Love Hurts (2025),,,
Bring Them Down (2024),,,
Autumn and the Black Jaguar (2024),,,
Captain America: Brave New World (2025),,,
Bridget Jones: Mad About the Boy (2025),,,
I'm Still Here (2024),,,
Armand (2024),,,
Verona's Romeo & Juliet (2025),,,
Desire Lines (2024),,,
The Monkey (2025),,,
The Unbreakable Boy (2025),,,
Peter Pan's Neverland Nightmare (2025),,,
My Dead Friend Zoe (2024),,,
The Day the Earth Blew Up: A Looney Tunes Movie (2024),,,
Vicious (2025),,,
Last Breath (2025),,,
In the Lost Lands (2025),,,
No Address (2025),,,
Sinners (2025),,,
Night of the Zoopocalypse (2024),,,
The Senior (2023),,,
Black Bag (2025),,,
Novocaine (2025),,,
Snow White (2025),,,
Alto Knights (2024),,,
Levon's Trade (2025),,,
The Woman in the Yard (2025),,,
Kayara (2025),,,
 Gladiator II (2024),7,,"
After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.                    "
 Mission: Impossible - Dead Reckoning Part One (2023),7.7,,"
Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.                    "
 Stree 2 (2024),7,,"
After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.                    "
 Home Alone (1990),7.7,,"
An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.                    "
 Rumours (2024),5.2,,"
The leaders of seven wealthy democracies get lost in the woods while drafting a statement on a global crisis, facing danger as they attempt to find their way out.                    "
 Furiosa: A Mad Max Saga (2024),7.5,,"
The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.                    "
 It's What's Inside (2024),6.6,,"
A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.                    "
 Magpie (2024),5.9,,"
A couple find their lives turned upside-down when their daughter is cast alongside a controversial major star.                    "
 Horizon: An American Saga - Chapter 1 (2024),6.7,,"
Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.                    "
 The Day of the Jackal (1973),7.8,,"
In the aftermath of France allowing Algeria's independence, a group of resentful military veterans hire a professional assassin codenamed ""Jackal"" to kill President Charles de Gaulle.                    "
 The Ministry of Ungentlemanly Warfare (2024),6.8,,"
The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.                    "
 Do Patti (2024),6.6,,"
Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.                    "
 Blitz (2024),6.4,,"
The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.                    "
 Once Upon a Time... in Hollywood (2019),7.6,,"
As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.                    "
 Focus (2015),6.6,,"
In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.                    "
 Dear Santa (2024),,,"
When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays.                    "
 Goodrich (2024),6.3,,"
Andy Goodrich's life is upended when his wife enters a rehab program, leaving him on his own with their young kids. Goodrich leans on Grace, his daughter from his first marriage, as he ultimately evolves into the father she never had.                    "
 Smile (2022),6.5,,"
After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.                    "
 Queer (2024),5.6,,"
Lee, who recounts his life in Mexico City among American expatriate college students and bar owners surviving on part-time jobs and GI Bill benefits. He is driven to pursue a young man named Allerton, who is based on Adelbert Lewis Marker.                    "
 MaXXXine (2024),6.3,,"
In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.                    "
 Your Monster (2024),6.4,,"
After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming Monster living in her closet. A romantic-comedy-horror film about falling in love with your inner rage.                    "
 X (2022),6.5,,"
In 1979, a group of young filmmakers set out to make an adult film in a rural Texas farm, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives.                    "
 Oppenheimer (2023),8.3,,"
A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.                    "
 Pedro Páramo (2024),6.2,,"
Follows a dusty road to a town of death. Time shifts from one consciousness to another in a hypnotic flow of dreams, desires and memories, a world of ghosts dominated by the figure of Pedro Páramo, lover, overlord, murderer.                    "
 Bridget Jones: Mad About the Boy (2025),,,"
The fourth in the series of British romantic comedies.                    "
 Inside Out 2 (2024),7.6,,"
A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.                    "
 Y2K (2024),-,,"
Two high school nobodies make the decision to crash the last major celebration before the new millennium on New Year's Eve 1999. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.                    "
 Speak No Evil (2024),6.9,,"
A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.                    "
 Wolfs (2024),6.5,,"
Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.                    "
 Terrifier 2 (2022),6.1,,"
After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.                    "
 Elevation (2024),5.8,,"
A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.                    "
 The Outrun (2024),6.9,,"
After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up.                    "
 Caddo Lake (2024),6.9,,"
When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.                    "
 Subservience (2024),5.2,,"
Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly.                    "
 A Different Man (2024),7,,"
An aspiring actor undergoes a radical medical procedure to transform his appearance. But his dream new face soon turns into a nightmare.                    "
 Harry Potter and the Sorcerer's Stone (2001),7.6,,"
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.                    "
 Civil War (2024),7,,"
A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.                    "
 Lee (2023),6.9,,"
The story of American photographer "
 Strange Darling (2023),7.1,,"
Nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder spree.                    "
 The Shawshank Redemption (1994),9.3,,"
A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.                    "
 Mufasa: The Lion King (2024),,,"
Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.                    "
 Blink Twice (2024),6.5,,"
When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality.                    "
 Moana 2 (2024),,,"
After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.                    "
 The Godfather (1972),9.2,,"
The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.                    "
 Dune: Part Two (2024),8.5,,"
Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.                    "
 Tiptoes (2002),4.2,,"
The story of a peculiar love triangle involving two brothers.                    "
 Let Go (2024),7,,"
Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them.                    "
 Attack on Titan the Movie: The Last Attack (2024),9.3,,"
The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley.                    "
 Alita: Battle Angel (2019),7.3,,"
A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.                    "
 Meet Me Next Christmas (2024),5.6,,"
In pursuit of a fairytale romance with the man of her dreams, Layla must race through New York City to get her hands on the hottest ticket in town: the sold out Pentatonix Christmas Eve Concert.                    "
 Paddington in Peru (2024),6.8,,"
Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey.                    "
 Terrifier (2016),5.5,,"
A maniac named Art the Clown terrorizes two friends on Halloween and everyone who gets in his way.                    "
 It Ends with Us (2024),6.5,,"
When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.                    "
 The Count of Monte-Cristo (2024),7.7,,"
After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the Count of Monte Cristo to exact revenge on the men who betrayed him.                    "
 The Buckingham Murders (2023),6,,"
A grieving cop who loses her child to murder and moves to another town where she's tasked with investigating the disappearance of a missing child. Exploring themes of trauma, grief, the immigrant experience and our need for closure.                    "
 Back in Action (2025),,,"
Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.                    "
 Beetlejuice Beetlejuice (2024),6.8,,"
After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.                    "
 The Last Showgirl (2024),5.9,,"
A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.                    "
 A Real Pain (2024),7.5,,"
Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the odd-couple's old tensions resurface against the backdrop of their family history.                    "
 Transformers One (2024),7.6,,"
The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.                    "
 Monster Summer (2024),5.7,,"
When a mysterious force begins to disrupt their big summer fun, Noah and his friends team up with a retired police detective to embark on a monstrous adventure to save their island.                    "
 We Live in Time (2024),7.2,,"
An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.                    "
 Here (2024),6.3,,"
A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.                    "
 Juror #2 (2024),7.3,,"
While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.                    "
 Singham Again (2024),6,,"
A new chase is coming - with reference to the epic Ramayana, Singham and his team face an ambiguous villain in order to save his wife.                    "
 Interstellar (2014),8.7,,"
When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.                    "
 Nosferatu (2024),,,"
A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.                    "
 Longlegs (2024),6.7,,"
In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree.                    "
 Small Things Like These (2024),7.3,,"
In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.                    "
 Time Cut (2024),5,,"
High school student accidentally travels back to 2003 and decides to stop the serial killer who murdered her sister.                    "
 The Best Christmas Pageant Ever (2024),7.4,,"
Nobody is ready for the mayhem and surprises that ensue when six of the worst youngsters disrupt the town's yearly Christmas performance.                    "
 Alien: Romulus (2024),7.2,,"
While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe.                    "
 Don't Move (2024),5.8,,"
A seasoned killer injects a grieving woman with a paralytic agent. She must run, fight and hide before her body shuts down.                    "
 Trap (2024),5.9,,"
A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.                    "
 Woman of the Hour (2023),6.6,,"
Sheryl Bradshaw, a single woman looking for a suitor on a hit 1970s TV show, chooses charming bachelor Rodney Alcala, unaware that, behind the man's gentle facade, he hides a deadly secret.                    "
 Saturday Night (2024),7.1,,"
At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of "
 The Apprentice (2024),7.1,,"
The story of how a young "
 Joker: Folie à Deux (2024),5.2,,"
Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.                    "
 Apocalypse Z: The Beginning of the End (2024),6.1,,"
Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions.                    "
 Hot Frosty (2024),5.5,,"
Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt.                    "
 Conclave (2024),7.6,,"
When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of the Catholic Church.                    "
 Smile 2 (2024),7,,"
About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.                    "
 Thunderbolts* (2025),,,"
A group of supervillains are recruited to go on missions for the government.                    "
 Twisters (2024),6.6,,"
Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.                    "
 The Batman (2022),7.8,,"
When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.                    "
 The Wild Robot (2024),8.3,,"
After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.                    "
 Captain America: Brave New World (2025),,,"
Sam Wilson, who's officially taken up the mantle of Captain America, finds himself in the middle of an international incident.                    "
 Mission: Impossible - The Final Reckoning (2025),,,"
                    "
 Emilia Pérez (2024),7,,"
Emilia Pérez follows four remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists Rita, an unappreciated lawyer, to help fake her death so that she can finally live authentically as her true self.                    "
 Venom: The Last Dance (2024),6.2,,"
Eddie and Venom, on the run, face pursuit from both worlds. As circumstances tighten, they're compelled to make a heart-wrenching choice that could mark the end of their symbiotic partnership.                    "
 My Old Ass (2024),7,,"
A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love.                    "
 Megalopolis (2024),4.9,,"
The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.                    "
 Terrifier 3 (2024),6.4,,"
Art the Clown is set to unleash chaos on the unsuspecting residents of Miles County as they peacefully drift off to sleep on Christmas Eve.                    "
 Anora (2024),8.2,,"
Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out for New York to get the marriage annulled.                    "
 Wicked (2024),8.3,,"
Elphaba, a misunderstood young woman because of her green skin, and Glinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads.                    "
 Red One (2024),6.9,,"
After Santa Claus is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.                    "
 Deadpool & Wolverine (2024),7.7,,"
Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.                    "
 Gladiator (2000),8.5,,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.                    "
 The Substance (2024),7.5,,"
A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.                    "
 Heretic (2024),7.2,,"
Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.                    "
